Project Type,Location,Vintage,Co-Benefits,Base Price
Reforestation,South America,2017,Medium,5.8661157780376065
Methane Capture,North America,2018,Low,15.211338394407283
Reforestation,Africa,2021,None,12.00173115846782
Methane Capture,Africa,2004,High,5.516918891375
Methane Capture,Asia,2023,Low,19.54411590272143
Reforestation,North America,2008,None,19.236682146341607
Reforestation,Asia,2002,Low,12.693536242207964
Methane Capture,Asia,2009,Low,6.405086310588652
Renewable Energy,Asia,2018,Low,16.319318323978877
Energy Efficiency,Europe,2002,High,12.378966501585936
Reforestation,Europe,2021,None,9.5367121743407
Energy Efficiency,Asia,2014,Medium,12.371272662928352
Renewable Energy,North America,2000,High,12.836662181081966
Renewable Energy,Africa,2006,High,13.440675485335088
Renewable Energy,North America,2011,High,11.618355704829899
Reforestation,South America,2016,Medium,14.08632954708585
Renewable Energy,Europe,2020,None,18.78102065909566
Reforestation,Africa,2023,None,10.434021306478868
Renewable Energy,Africa,2019,None,15.885746948299236
Energy Efficiency,South America,2004,Low,18.416788352363483
Energy Efficiency,South America,2003,Low,11.839689136399054
Methane Capture,Asia,2011,Low,11.651837545728561
Energy Efficiency,Europe,2019,Medium,14.031754780321693
Methane Capture,Europe,2023,Low,13.871101391337321
Energy Efficiency,North America,2017,Medium,17.098840134894154
Reforestation,Asia,2016,None,12.14725075667439
Energy Efficiency,Asia,2018,Low,19.941844244591618
Methane Capture,Asia,2008,Low,5.892073533009212
Methane Capture,Asia,2003,High,5.047517728710526
Renewable Energy,Europe,2020,Medium,14.602974673394357
Reforestation,Europe,2001,None,9.47652368542815
Energy Efficiency,Asia,2003,High,8.605735830492257
Renewable Energy,North America,2001,High,9.678486200064206
Energy Efficiency,Africa,2014,None,8.840713476574315
Energy Efficiency,Africa,2001,High,5.461850744906718
Renewable Energy,North America,2003,Medium,19.57299563585883
Renewable Energy,Asia,2005,Medium,8.311182326791727
Renewable Energy,Europe,2006,Low,16.010446438839594
Renewable Energy,Africa,2009,High,16.43894592041263
Renewable Energy,South America,2018,Low,18.93886097010844
Energy Efficiency,South America,2018,High,5.4582418564007
Renewable Energy,North America,2021,Medium,18.080725076705114
Reforestation,Asia,2011,Medium,12.908392712597003
Methane Capture,Africa,2002,Medium,14.488161649487418
Renewable Energy,Asia,2012,High,14.667054156815505
Renewable Energy,Africa,2017,Medium,17.29696707477091
Energy Efficiency,North America,2007,High,10.001109832386657
Renewable Energy,North America,2020,Low,15.9957678478999
Renewable Energy,South America,2014,High,12.928671645832956
Renewable Energy,Asia,2000,Low,16.900910214580215
Energy Efficiency,South America,2002,High,19.858190491552
Renewable Energy,Asia,2007,Low,8.009765261056419
Methane Capture,South America,2003,Medium,19.919729623399967
Energy Efficiency,Europe,2015,Low,6.347182314241611
Methane Capture,Europe,2022,Medium,5.034763218572208
Energy Efficiency,Europe,2009,Medium,5.662429042667469
Renewable Energy,Europe,2011,Low,10.126736071051425
Methane Capture,Africa,2013,High,14.493594960176512
Energy Efficiency,Europe,2013,High,6.035443113317744
Reforestation,North America,2001,None,5.084987217943509
Renewable Energy,North America,2022,High,19.05636542688192
Energy Efficiency,Africa,2004,None,17.328899539098945
Reforestation,Europe,2004,High,17.137747567085466
Energy Efficiency,Europe,2005,High,18.266364132529656
Reforestation,Europe,2012,Medium,15.500514091581566
Renewable Energy,South America,2008,None,6.566061946221222
Methane Capture,Asia,2021,High,10.986502821105846
Reforestation,South America,2014,None,15.847242296969442
Energy Efficiency,Asia,2013,Medium,9.205016911872814
Renewable Energy,Europe,2023,Medium,15.311095462043564
Reforestation,Europe,2006,None,5.367476724014785
Energy Efficiency,South America,2024,Medium,9.592060113193899
Energy Efficiency,South America,2019,Low,13.23695504415759
Energy Efficiency,Asia,2001,Low,14.481347442593634
Reforestation,North America,2006,Medium,13.655609966928662
Reforestation,Asia,2005,Low,15.466344141101443
Reforestation,South America,2016,High,5.091331223597586
Methane Capture,South America,2024,None,6.5141179996628225
Reforestation,Africa,2024,High,18.034163784187175
Reforestation,South America,2001,None,15.226229661352418
Reforestation,Africa,2002,Medium,6.69397464029017
Methane Capture,North America,2004,High,17.63111656097869
Reforestation,Asia,2004,Medium,8.633468267368503
Energy Efficiency,Asia,2000,Medium,12.173898262928352
Reforestation,Africa,2007,None,7.177947693269904
Energy Efficiency,Asia,2011,None,15.6516508463256
Energy Efficiency,South America,2023,None,15.002816315214018
Energy Efficiency,Europe,2003,High,8.166687067492042
Methane Capture,Africa,2012,Low,17.951011502855028
Methane Capture,Asia,2022,None,11.019590363295682
Methane Capture,Africa,2014,None,9.387726366061127
Reforestation,Africa,2010,High,7.2849438419680315
Energy Efficiency,Europe,2009,None,8.992520187733062
Methane Capture,South America,2002,High,5.330403818357255
Methane Capture,Africa,2021,Medium,13.748862386841733
Reforestation,Asia,2013,None,17.63346119515922
Methane Capture,North America,2015,None,13.234706741624628
Reforestation,Africa,2009,Medium,8.289109428858136
Renewable Energy,Africa,2009,Medium,5.505037673208091
Methane Capture,Europe,2011,Medium,8.219421098882043
Renewable Energy,South America,2008,None,11.241821421066385
Reforestation,North America,2000,Low,16.394171430496947
Energy Efficiency,Asia,2004,Low,7.817642788066612
Methane Capture,North America,2019,Low,15.796871800320291
Reforestation,Asia,2007,None,18.004002025278254
Energy Efficiency,South America,2010,Medium,11.809202721625356
Energy Efficiency,Asia,2011,None,17.3214798746389
Renewable Energy,Europe,2000,Medium,13.319860220526433
Reforestation,Europe,2024,None,14.556362556213575
Energy Efficiency,Europe,2021,None,12.89417690507304
Methane Capture,Europe,2019,Medium,11.947590751270127
Methane Capture,North America,2024,Low,8.51980162663774
Renewable Energy,South America,2010,Medium,9.547910891915691
Energy Efficiency,Asia,2004,High,9.349551784154135
Reforestation,Asia,2014,High,13.44933396430722
Methane Capture,Europe,2004,Medium,6.799305395358349
Energy Efficiency,Europe,2011,None,18.751875360535028
Energy Efficiency,Africa,2004,High,15.8098271792467
Renewable Energy,South America,2016,High,11.021684463697905
Methane Capture,North America,2016,None,7.379362167895669
Methane Capture,Asia,2023,None,18.229882545824537
Reforestation,Africa,2011,Low,17.356671351517477
Methane Capture,Africa,2023,None,15.82582329075769
Reforestation,Asia,2014,Medium,9.073205711168637
Methane Capture,North America,2014,Medium,11.036699561505035
Renewable Energy,Africa,2005,Low,6.54122378678635
Methane Capture,Africa,2011,High,7.835592870912976
Reforestation,South America,2019,High,16.745249559750995
Reforestation,North America,2017,None,15.725580782760257
Renewable Energy,Africa,2013,Medium,13.90228644463902
Methane Capture,North America,2001,High,18.435900888892593
Methane Capture,Asia,2008,Low,13.74899776719568
Renewable Energy,Europe,2004,Low,12.00451999945416
Methane Capture,Africa,2019,Medium,10.10556119458644
Methane Capture,South America,2000,Low,19.106727586042588
Reforestation,Asia,2022,Low,6.240731922865303
Methane Capture,North America,2002,Medium,18.963310580912125
Methane Capture,Asia,2005,None,17.400719898965274
Renewable Energy,Africa,2004,None,6.94894886803552
Renewable Energy,North America,2020,Low,13.474765365128803
Energy Efficiency,Europe,2004,None,17.998219726236304
Reforestation,Asia,2000,None,13.577137454107305
Methane Capture,Africa,2016,Low,18.607997323409336
Methane Capture,South America,2018,None,19.144757252240638
Energy Efficiency,North America,2013,Low,11.335767832764589
Methane Capture,Asia,2011,High,10.659704921094853
Reforestation,Asia,2009,Medium,19.04481730953735
Energy Efficiency,Europe,2019,Medium,15.127100917245022
Reforestation,Europe,2020,None,6.7403402202225395
Energy Efficiency,South America,2017,None,5.634376238340218
Energy Efficiency,South America,2023,None,13.469435764958947
Renewable Energy,Africa,2010,Medium,18.952564481576367
Reforestation,Africa,2001,High,17.663730536087275
Methane Capture,South America,2024,High,15.137716196965046
Methane Capture,South America,2017,Medium,7.086737733366313
Reforestation,North America,2024,High,8.813470756230434
Methane Capture,Europe,2006,Medium,18.13266839828924
Methane Capture,Africa,2023,High,7.742108549853507
Reforestation,Europe,2014,Low,9.176591123756518
Energy Efficiency,Europe,2010,Low,6.944009767931629
Reforestation,South America,2017,Medium,15.141623471216167
Energy Efficiency,North America,2022,High,19.159734580448145
Methane Capture,Asia,2011,None,9.03452047393079
Methane Capture,North America,2005,High,12.131099117751106
Methane Capture,North America,2019,Low,14.515096095668063
Renewable Energy,Europe,2022,Low,19.991993723234458
Energy Efficiency,North America,2012,High,6.572120974963582
Renewable Energy,Africa,2019,High,12.478561992585638
Renewable Energy,Europe,2015,None,10.776801798537502
Reforestation,Africa,2017,None,17.987302478335327
Renewable Energy,Asia,2009,High,12.139515965174839
Reforestation,Europe,2022,High,6.664662868777222
Reforestation,Asia,2007,High,14.516362179298754
Renewable Energy,Europe,2017,High,16.561709273958197
Energy Efficiency,South America,2020,Medium,5.0432187749842186
Energy Efficiency,North America,2000,High,17.884350281309445
Energy Efficiency,South America,2022,None,7.790345000084985
Energy Efficiency,Asia,2007,Low,13.281040469800669
Energy Efficiency,North America,2005,Medium,11.236962510311752
Renewable Energy,Europe,2004,High,15.794807249157955
Renewable Energy,North America,2014,Low,10.567424221786126
Methane Capture,Africa,2021,Medium,18.046447650225662
Energy Efficiency,North America,2014,Low,15.957445414381853
Renewable Energy,Africa,2001,High,14.715697565943822
Methane Capture,North America,2000,High,16.943608933442814
Energy Efficiency,Africa,2022,None,16.310345523925733
Reforestation,Asia,2022,High,5.5390801238233
Methane Capture,South America,2010,High,10.921015307672423
Renewable Energy,Europe,2009,Medium,18.962109459747346
Reforestation,North America,2017,None,6.885864034883394
Reforestation,South America,2017,Medium,16.05644825648077
Reforestation,Europe,2016,Low,19.618877170029947
Methane Capture,Europe,2007,High,5.782979435674575
Renewable Energy,Africa,2014,Low,15.232908209399158
Reforestation,Asia,2007,Medium,12.022312119515455
Energy Efficiency,Asia,2016,High,13.687628830620833
Reforestation,South America,2011,High,6.280120047264873
Reforestation,Asia,2007,Medium,5.6451042780040925
Methane Capture,North America,2024,Medium,15.002999908263826
Methane Capture,Asia,2013,Medium,17.349641447310766
Renewable Energy,South America,2003,Medium,16.73023002399451
Energy Efficiency,Asia,2000,Medium,13.15708591799356
Methane Capture,North America,2000,High,6.498002317042673
Reforestation,Africa,2018,Medium,15.320666657540208
Renewable Energy,South America,2015,High,8.628333253312189
Reforestation,Africa,2013,High,18.666030541510754
Reforestation,Africa,2020,Medium,17.573980393185572
Methane Capture,Africa,2015,Medium,15.640744506310863
Renewable Energy,Europe,2004,None,19.232689337466958
Energy Efficiency,Europe,2008,High,5.471327322669094
Energy Efficiency,Africa,2001,Medium,16.043006375911432
Methane Capture,South America,2017,Medium,9.95364169004608
Methane Capture,North America,2005,Medium,18.59098828529548
Renewable Energy,North America,2008,None,9.000127949929663
Energy Efficiency,Asia,2000,None,15.872847489725256
Energy Efficiency,South America,2008,Low,18.16470529476172
Energy Efficiency,Europe,2024,High,5.624852275740237
Reforestation,Africa,2015,Low,10.964713693880542
Energy Efficiency,Asia,2012,Medium,16.434635480329078
Reforestation,North America,2008,None,11.823783342613806
Renewable Energy,Europe,2020,None,9.00878944690393
Reforestation,Europe,2012,Low,8.29708023234785
Renewable Energy,Africa,2008,None,6.972774003745669
Energy Efficiency,North America,2010,Medium,17.856943397844233
Energy Efficiency,South America,2003,None,13.63033104877334
Renewable Energy,Europe,2001,Low,6.14577417487184
Methane Capture,Africa,2005,Medium,10.738704853559533
Renewable Energy,South America,2013,Low,10.516004762076648
Methane Capture,North America,2003,None,7.726087860641945
Reforestation,Europe,2005,Low,11.53261438208286
Reforestation,South America,2018,Low,9.981490480897047
Reforestation,South America,2005,High,10.127055582382738
Energy Efficiency,South America,2001,None,16.08539836681938
Reforestation,Europe,2017,None,8.348950782577944
Methane Capture,Europe,2012,Low,14.62789938283033
Reforestation,Asia,2008,High,13.559744358214022
Renewable Energy,North America,2022,None,13.52138768506801
Renewable Energy,Africa,2018,Medium,14.94511019212664
Energy Efficiency,South America,2012,Low,13.225730542934809
Renewable Energy,Asia,2010,None,18.18882672269577
Methane Capture,Africa,2000,Medium,15.133701379253898
Reforestation,Asia,2023,None,13.204448770570822
Energy Efficiency,Europe,2021,Medium,17.446446804314675
Reforestation,South America,2006,Low,14.092198474002195
Reforestation,Africa,2024,None,9.367163716777686
Methane Capture,Africa,2020,None,8.106423772648569
Renewable Energy,Africa,2014,High,7.284916784940182
Renewable Energy,Africa,2000,Low,18.491828188191526
Reforestation,Africa,2011,Medium,15.652031476970988
Energy Efficiency,Asia,2006,None,19.06067657246481
Renewable Energy,South America,2014,None,14.049377085724146
Energy Efficiency,Europe,2020,Medium,12.101013222423688
Renewable Energy,Europe,2018,Low,5.89574733456334
Energy Efficiency,Europe,2024,High,15.074634223190447
Methane Capture,Europe,2000,High,13.733131396523467
Energy Efficiency,Asia,2016,None,19.853133403814322
Methane Capture,North America,2016,Medium,8.587381666733645
Methane Capture,South America,2002,None,12.961060329302537
Energy Efficiency,Africa,2011,Medium,14.76436002677109
Methane Capture,North America,2005,High,14.668867621135155
Reforestation,Europe,2010,Low,13.419403144226042
Methane Capture,North America,2002,Medium,16.653920154908384
Renewable Energy,South America,2007,High,8.074718142902245
Energy Efficiency,Africa,2013,None,15.884408004116239
Reforestation,Africa,2013,Medium,14.296018571496338
Energy Efficiency,South America,2009,Low,18.4411266769186
Renewable Energy,South America,2001,None,17.707916585503725
Renewable Energy,Europe,2013,None,9.7272055869883
Renewable Energy,Africa,2008,High,9.143559874627297
Methane Capture,North America,2002,Medium,19.724799857786717
Methane Capture,Asia,2020,None,12.908977713728849
Energy Efficiency,Asia,2007,Low,18.596314458716552
Energy Efficiency,South America,2015,Medium,7.458215356707233
Reforestation,Europe,2001,Low,14.642283722002615
Reforestation,Asia,2005,None,17.147902810408794
Energy Efficiency,Africa,2020,Low,19.210928743796703
Methane Capture,South America,2024,High,10.060102115255352
Renewable Energy,North America,2011,Low,15.874717548860787
Energy Efficiency,South America,2004,Medium,13.082195135594286
Reforestation,North America,2001,Low,5.909433890997023
Methane Capture,South America,2015,Low,15.349996059634151
Energy Efficiency,South America,2004,High,15.351448373567651
Energy Efficiency,South America,2014,Low,18.959102072698055
Methane Capture,North America,2011,Low,12.459686692534586
Energy Efficiency,North America,2003,None,8.453763810657719
Methane Capture,South America,2014,None,5.668457351730187
Renewable Energy,Asia,2010,Medium,11.234632800288585
Methane Capture,Europe,2015,None,9.528750501162527
Methane Capture,Europe,2022,None,16.416324590358133
Methane Capture,Europe,2005,None,10.314016472615698
Energy Efficiency,North America,2013,None,19.23606794472266
Energy Efficiency,North America,2017,High,19.434653044816763
Methane Capture,Asia,2011,None,14.313628853265621
Energy Efficiency,Europe,2010,High,18.929904305223243
Reforestation,Europe,2012,High,16.412815167717433
Reforestation,South America,2020,None,13.202894614626892
Energy Efficiency,North America,2022,Low,7.704619031341672
Energy Efficiency,Europe,2010,High,11.878969152707601
Methane Capture,Asia,2022,Low,13.413116950439264
Renewable Energy,Asia,2015,Low,17.959423711025153
Energy Efficiency,Europe,2014,None,12.220000648034972
Reforestation,North America,2020,Medium,18.46512009016935
Methane Capture,Asia,2014,None,15.115234685352034
Energy Efficiency,South America,2024,Medium,7.05498594580507
Reforestation,Asia,2003,Medium,19.924720539876397
Reforestation,Africa,2010,None,12.908489911308688
Renewable Energy,Africa,2018,None,10.877874446136182
Methane Capture,North America,2014,Medium,14.886706467042897
Methane Capture,Europe,2003,None,6.633399709715587
Renewable Energy,North America,2020,Medium,14.548079701300315
Renewable Energy,North America,2012,Low,12.473540007489095
Methane Capture,North America,2021,None,11.100111049978747
Methane Capture,North America,2018,Low,19.295300317683488
Energy Efficiency,South America,2001,High,12.838095750980798
Energy Efficiency,South America,2013,Low,8.286762192049077
Renewable Energy,Asia,2003,Low,11.88445219065948
Energy Efficiency,Africa,2015,Medium,18.790811068590088
Reforestation,North America,2020,Low,7.64143206995892
Energy Efficiency,Asia,2019,None,8.209355580323553
Energy Efficiency,Africa,2013,Medium,5.1954435163562565
Reforestation,Europe,2014,High,5.212850740936508
Renewable Energy,South America,2002,None,17.440874404377688
Reforestation,Africa,2007,High,15.981839102644336
Energy Efficiency,Europe,2015,Low,10.325615846779375
Renewable Energy,Africa,2009,None,15.47466735841359
Energy Efficiency,South America,2003,None,10.928088894649553
Reforestation,South America,2017,High,19.29345193996741
Reforestation,Asia,2001,None,19.505790221390523
Energy Efficiency,North America,2016,None,10.891906637140151
Methane Capture,Africa,2012,None,17.81332859511302
Methane Capture,Africa,2003,Low,16.596335625461993
Reforestation,Europe,2024,High,9.649999057576839
Reforestation,South America,2010,None,8.48059743351659
Methane Capture,Africa,2006,Medium,11.873519755892508
Methane Capture,South America,2011,Medium,16.720232609216094
Energy Efficiency,Africa,2009,Medium,19.40251677093118
Energy Efficiency,Asia,2006,Medium,16.45368603299859
Methane Capture,North America,2012,Low,17.82810477527555
Energy Efficiency,Africa,2006,None,14.045964592557748
Energy Efficiency,South America,2023,High,17.53111746263189
Renewable Energy,Asia,2016,None,16.766312870051266
Energy Efficiency,Africa,2009,Low,10.654783128894202
Reforestation,Europe,2009,Medium,13.279854531810816
Energy Efficiency,North America,2023,Low,17.071296829845423
Energy Efficiency,Africa,2003,None,5.690851012849346
Methane Capture,Asia,2019,High,17.121189235337447
Reforestation,Europe,2003,Low,7.668321860735352
Energy Efficiency,Asia,2021,High,12.720254256821583
Energy Efficiency,Asia,2006,Low,17.124131593339065
Renewable Energy,Europe,2021,High,8.807316172350422
Energy Efficiency,Asia,2000,High,8.687111589592295
Energy Efficiency,Europe,2011,Medium,11.041465976933779
Renewable Energy,Africa,2023,High,18.419641963664517
Methane Capture,Europe,2012,Medium,5.006641721558118
Energy Efficiency,Europe,2009,None,18.520746449629023
Renewable Energy,North America,2014,None,7.307105369624116
Reforestation,Europe,2012,Medium,19.85129564101223
Methane Capture,Europe,2022,Medium,19.322704895577022
Reforestation,Africa,2021,Low,12.420127843869249
Reforestation,North America,2021,Low,12.690803717189421
Renewable Energy,South America,2020,Low,12.223240104137815
Energy Efficiency,Africa,2021,None,14.531654684892839
Renewable Energy,Africa,2008,Low,6.360825533523966
Renewable Energy,South America,2008,High,5.489269225123498
Renewable Energy,Europe,2014,High,5.865543926238483
Renewable Energy,Asia,2009,Low,11.665480238622717
Methane Capture,North America,2023,High,9.13321908829225
Energy Efficiency,Asia,2024,None,14.330593435564907
Reforestation,South America,2009,High,19.886634340621683
Reforestation,Africa,2007,None,10.794847596146989
Energy Efficiency,Africa,2023,Medium,13.6076188115677
Reforestation,North America,2015,Medium,11.234058438610031
Energy Efficiency,Africa,2016,Medium,17.709075015827892
Reforestation,Africa,2004,Medium,18.53354605193357
Renewable Energy,North America,2003,High,18.160334183078902
Reforestation,North America,2017,Low,19.61558358018886
Energy Efficiency,South America,2023,High,5.41278777710623
Energy Efficiency,Africa,2018,None,17.597242432182966
Energy Efficiency,Africa,2003,High,16.276582595586397
Energy Efficiency,South America,2006,High,8.430416141005471
Energy Efficiency,Europe,2009,None,19.344801400812912
Methane Capture,Europe,2024,Medium,7.2226689234491825
Methane Capture,Europe,2017,Medium,15.193248907008625
Reforestation,South America,2018,Medium,8.373353252238687
Energy Efficiency,Africa,2003,Low,11.47070973161112
Reforestation,South America,2009,None,15.787398454168533
Energy Efficiency,South America,2000,None,13.4498696304957
Energy Efficiency,Europe,2022,High,11.412527469921676
Methane Capture,Asia,2017,Low,9.895076463979809
Methane Capture,Africa,2004,Medium,17.594894835631855
Renewable Energy,Europe,2014,Low,7.157215254722206
Methane Capture,Asia,2016,None,11.451543147947001
Renewable Energy,Asia,2002,None,18.556363576627135
Renewable Energy,North America,2011,High,17.687743256899516
Renewable Energy,Africa,2001,High,11.014126437095701
Renewable Energy,Asia,2000,None,16.446625454019625
Renewable Energy,Europe,2022,Medium,17.34741246063289
Reforestation,North America,2020,Medium,18.333311360054445
Methane Capture,Africa,2016,Low,13.167586535738419
Renewable Energy,South America,2021,None,8.066913290820677
Energy Efficiency,Europe,2015,None,8.829636147558976
Methane Capture,Asia,2004,Medium,9.435420110624063
Methane Capture,Asia,2014,Medium,13.907037212144232
Renewable Energy,Europe,2002,None,5.492144361929126
Reforestation,Asia,2006,High,14.540637031699525
Renewable Energy,North America,2010,None,10.46531357642348
Reforestation,Africa,2009,None,9.428627037344633
Energy Efficiency,North America,2008,Medium,18.192448560921896
Methane Capture,Asia,2013,Medium,11.900035933711983
Energy Efficiency,South America,2012,High,6.425795682990392
Reforestation,Africa,2024,High,17.401201520393705
Reforestation,Africa,2024,Low,5.714618861547599
Energy Efficiency,Europe,2001,None,15.90123836252295
Reforestation,Europe,2002,Medium,16.608593326559976
Energy Efficiency,South America,2006,High,10.289039088932872
Methane Capture,Africa,2020,Low,17.3718178441668
Energy Efficiency,South America,2017,Low,12.734891087846801
Methane Capture,Europe,2002,Medium,11.949404799091951
Energy Efficiency,Europe,2009,Medium,5.6810492220303885
Reforestation,Africa,2021,Low,9.350437904733589
Energy Efficiency,North America,2006,High,18.965149563279496
Reforestation,Asia,2008,Low,10.8773594492525
Energy Efficiency,Europe,2016,None,13.200507808351524
Energy Efficiency,Europe,2010,None,12.980325184763776
Renewable Energy,North America,2006,Medium,13.8564663473404
Reforestation,North America,2023,High,5.919964334649239
Renewable Energy,South America,2013,High,10.432643821980925
Reforestation,South America,2018,None,15.846924108238312
Renewable Energy,Asia,2003,Low,8.008403766094744
Methane Capture,Asia,2005,Medium,8.053675663195406
Energy Efficiency,Africa,2009,Low,5.151359100335371
Reforestation,South America,2006,Low,11.562228899123145
Reforestation,Europe,2012,Low,18.24101571010133
Energy Efficiency,South America,2013,High,5.778514153809635
Reforestation,Europe,2003,None,7.866780642440039
Reforestation,North America,2007,High,9.651268075141326
Renewable Energy,South America,2004,None,15.975871048463194
Reforestation,North America,2000,Medium,14.609533892038797
Methane Capture,Asia,2003,Medium,11.239158568727825
Methane Capture,Asia,2002,Low,16.386034088875636
Energy Efficiency,Africa,2008,None,14.14446517485353
Reforestation,South America,2007,None,18.440611994858287
Energy Efficiency,North America,2000,None,17.270401237080396
Methane Capture,Europe,2005,Low,8.792204091338007
Reforestation,Asia,2008,Low,9.071578664513003
Reforestation,Asia,2006,Medium,6.880347136885785
Energy Efficiency,Europe,2003,High,10.054470885761848
Methane Capture,North America,2012,None,19.993158780786416
Reforestation,North America,2016,None,11.086267529225914
Energy Efficiency,South America,2001,High,8.307326520336595
Methane Capture,South America,2004,None,16.437243267133297
Energy Efficiency,Africa,2011,Low,13.13706505193984
Renewable Energy,Asia,2020,Low,7.2440217429042875
Reforestation,South America,2007,None,10.710345217412986
Renewable Energy,North America,2005,Low,11.21704573309015
Methane Capture,Europe,2007,Low,16.30744550853828
Renewable Energy,North America,2017,None,5.310070533378567
Renewable Energy,Asia,2002,Medium,9.035294701974657
Methane Capture,North America,2021,High,12.763944519732831
Energy Efficiency,Africa,2011,Low,9.03270113679265
Renewable Energy,Asia,2002,Medium,14.426510711284983
Energy Efficiency,Europe,2021,Low,12.228012189119248
Renewable Energy,Africa,2005,Low,10.42565382289371
Energy Efficiency,Asia,2001,High,19.238129403057684
Methane Capture,Europe,2022,Low,14.482392487796862
Renewable Energy,Africa,2011,High,6.949120584019118
Methane Capture,Africa,2001,High,13.401375461650932
Renewable Energy,Asia,2005,High,16.710977798013516
Methane Capture,South America,2016,Medium,15.62734546239196
Methane Capture,Africa,2002,None,7.58133843942889
Renewable Energy,Africa,2001,Medium,19.58629998560155
Renewable Energy,Europe,2022,None,11.73220468619909
Renewable Energy,North America,2019,None,7.3853750561039195
Reforestation,Asia,2007,High,7.702936311922219
Energy Efficiency,Asia,2021,Low,6.473524882836207
Reforestation,South America,2011,High,17.052771626524013
Reforestation,South America,2003,Low,6.8304574148277295
Methane Capture,Asia,2004,None,6.876878857126204
Renewable Energy,South America,2012,High,17.757074221412566
Energy Efficiency,Europe,2014,Low,10.169061266713395
Methane Capture,Asia,2024,Medium,5.462868564621087
Reforestation,South America,2022,Low,5.778429492776163
Renewable Energy,Asia,2015,High,7.132556700558434
Methane Capture,North America,2009,Medium,8.200900219635344
Renewable Energy,Africa,2024,Low,14.977192913576081
Methane Capture,Asia,2022,Low,7.359894200027424
Renewable Energy,Africa,2015,Low,6.78311586765608
Reforestation,South America,2011,Low,16.470787122144188
Energy Efficiency,Africa,2016,Low,15.065829257898717
Reforestation,Asia,2015,Medium,11.529863321828543
Energy Efficiency,North America,2011,None,13.23964657220156
Renewable Energy,South America,2007,Medium,9.679760304896277
Methane Capture,Asia,2019,Medium,12.23750630353041
Reforestation,South America,2002,Medium,12.600089734741186
Energy Efficiency,Europe,2015,None,10.808559067671439
Reforestation,Africa,2012,High,18.59858316008244
Energy Efficiency,Europe,2022,None,5.240927974715092
Reforestation,Asia,2018,Medium,16.732568946368694
Energy Efficiency,North America,2007,Low,6.865742468619865
Energy Efficiency,South America,2021,Low,16.96321040805799
Renewable Energy,Africa,2004,Medium,14.238678735150819
